;Label;Hypotheektype;Hypotheekbedrag;Rentepercentage begin;Rentepercentage actueel;Restschuld;Aflossing;Rentevaste periode;Verstrekker;Jaar;Datum;Bruto;Netto;Bedrag kwijt;Percentage kwijt;Jaarlasten hypotheek;Netto salaris na hypotheeklasten;Aftrekposten;Belasting totaal;Schijf 1 belasting;Schijf 2 belasting
0;ING 10 1.17%;annuit;145000;1.17%;1.13%;140936.64;1670.07;10;ING;1;2022-04-12;44672.0;33483.86;-11188.14;25.05;5733.44;27750.43;1670.07;16276.63;16276.63;0.00
1;ING 10 1.17%;annuit;145000;1.17%;1.13%;136774.27;1571.07;10;ING;2;2023-04-12;46012.16;34129.44;-11882.72;25.83;5733.44;28396.0;1571.07;16810.70;16810.70;0.00
2;ING 10 1.17%;annuit;145000;1.17%;1.13%;132564.63;1523.79;10;ING;3;2024-04-12;47392.52;34814.68;-12577.85;26.54;5733.44;29081.24;1523.79;17340.50;17340.50;0.00
3;ING 10 1.17%;annuit;145000;1.17%;1.11%;128289.79;1458.60;10;ING;4;2025-04-12;48814.3;35514.36;-13299.94;27.25;5733.44;29780.92;1458.60;17892.31;17892.31;0.00
4;ING 10 1.17%;annuit;145000;1.17%;1.11%;123958.37;1402.02;10;ING;5;2026-04-12;50278.73;36238.96;-14039.77;27.92;5733.44;30505.52;1402.02;18456.75;18456.75;0.00
5;ING 10 1.17%;annuit;145000;1.17%;1.09%;119570.60;1345.66;10;ING;6;2027-04-12;51787.09;36986.0;-14801.09;28.58;5733.44;31252.56;1345.66;19037.41;19037.41;0.00
6;ING 10 1.17%;annuit;145000;1.17%;1.09%;115118.28;1281.12;10;ING;7;2028-04-12;53340.7;37753.06;-15587.64;29.22;5733.44;32019.62;1281.12;19637.89;19637.89;0.00
7;ING 10 1.17%;annuit;145000;1.17%;1.06%;110614.42;1229.57;10;ING;8;2029-04-12;54940.93;38548.67;-16392.25;29.84;5733.44;32815.23;1229.57;20250.84;20250.84;0.00
8;ING 10 1.17%;annuit;145000;1.17%;1.06%;106031.27;1150.29;10;ING;9;2030-04-12;56589.15;39358.44;-17230.71;30.45;5733.44;33625.0;1150.29;20891.89;20891.89;0.00
9;ING 10 1.17%;annuit;145000;1.17%;1.06%;101399.30;1101.47;10;ING;10;2031-04-12;58286.83;40204.69;-18082.14;31.02;5733.44;34471.25;1101.47;21539.98;21539.98;0.00
10;ING 10 1.17%;annuit;145000;1.17%;5.00%;100720.41;5054.55;10;ING;11;2032-04-12;60035.43;42561.58;-17473.85;29.11;5733.44;36828.14;5054.55;20722.27;20722.27;0.00
11;ING 10 1.17%;annuit;145000;1.17%;5.00%;100006.79;5019.81;10;ING;12;2033-04-12;61836.5;43465.7;-18370.79;29.71;5733.44;37732.27;5019.81;21403.50;21403.50;0.00
12;ING 10 1.17%;annuit;145000;1.17%;5.00%;99256.66;4983.30;10;ING;13;2034-04-12;63691.59;44396.68;-19294.91;30.29;5733.44;38663.25;4983.30;22105.43;22105.43;0.00
13;ING 10 1.17%;annuit;145000;1.17%;5.00%;98468.15;4944.93;10;ING;14;2035-04-12;65602.34;45355.31;-20247.03;30.86;5733.44;39621.87;4944.93;22828.70;22828.70;0.00
14;ING 10 1.17%;annuit;145000;1.17%;5.00%;97639.30;4904.58;10;ING;15;2036-04-12;67570.41;46342.4;-21228.01;31.42;5733.44;40608.96;4904.58;23573.96;23573.96;0.00
15;ING 10 1.17%;annuit;145000;1.17%;5.00%;96768.04;4862.18;10;ING;16;2037-04-12;69597.52;47423.89;-22173.63;31.86;5733.44;41690.46;4862.18;24341.90;24341.90;0.00
16;ING 10 1.17%;annuit;145000;1.17%;5.00%;95852.21;4817.60;10;ING;17;2038-04-12;71685.45;48595.24;-23090.21;32.21;5733.44;42861.8;4817.60;25133.20;25133.20;0.00
17;ING 10 1.17%;annuit;145000;1.17%;5.00%;94889.52;4770.75;10;ING;18;2039-04-12;73836.01;49623.53;-24212.48;32.79;5733.44;43890.1;4770.75;26126.44;25416.47;709.97
18;ING 10 1.17%;annuit;145000;1.17%;5.00%;93877.58;4721.49;10;ING;19;2040-04-12;76051.09;50584.67;-25466.42;33.49;5733.44;44851.23;4721.49;27247.48;25416.47;1831.01
19;ING 10 1.17%;annuit;145000;1.17%;5.00%;92813.86;4669.72;10;ING;20;2041-04-12;78332.62;51574.13;-26758.49;34.16;5733.44;45840.69;4669.72;28402.65;25416.47;2986.19
20;ING 10 1.17%;annuit;145000;1.17%;5.00%;91695.72;4615.30;10;ING;21;2042-04-12;80682.6;52592.74;-28089.86;34.82;5733.44;46859.3;4615.30;29593.03;25416.47;4176.56
21;ING 10 1.17%;annuit;145000;1.17%;5.00%;90520.38;4558.09;10;ING;22;2043-04-12;83103.08;53641.34;-29461.74;35.45;5733.44;47907.91;4558.09;30819.67;25416.47;5403.20
22;ING 10 1.17%;annuit;145000;1.17%;5.00%;89284.91;4497.96;10;ING;23;2044-04-12;85596.17;54720.81;-30875.36;36.07;5733.44;48987.37;4497.96;32083.71;25416.47;6667.24
23;ING 10 1.17%;annuit;145000;1.17%;5.00%;87986.22;4434.75;10;ING;24;2045-04-12;88164.06;55832.04;-32332.02;36.67;5733.44;50098.6;4434.75;33386.30;25416.47;7969.83
24;ING 10 1.17%;annuit;145000;1.17%;5.00%;86621.10;4368.31;10;ING;25;2046-04-12;90808.98;56975.94;-33833.03;37.26;5733.44;51242.51;4368.31;34728.62;25416.47;9312.15
25;ING 10 1.17%;annuit;145000;1.17%;5.00%;85186.13;4298.47;10;ING;26;2047-04-12;93533.25;58153.48;-35379.77;37.83;5733.44;52420.04;4298.47;36111.89;25416.47;10695.43
26;ING 10 1.17%;annuit;145000;1.17%;5.00%;83677.74;4225.05;10;ING;27;2048-04-12;96339.25;59365.61;-36973.63;38.38;5733.44;53632.18;4225.05;37537.40;25416.47;12120.93
27;ING 10 1.17%;annuit;145000;1.17%;5.00%;82092.18;4147.88;10;ING;28;2049-04-12;99229.42;60613.35;-38616.07;38.92;5733.44;54879.91;4147.88;39006.43;25416.47;13589.96
28;ING 10 1.17%;annuit;145000;1.17%;5.00%;80425.50;4066.76;10;ING;29;2050-04-12;102206.31;61897.71;-40308.59;39.44;5733.44;56164.28;4066.76;40520.33;25416.47;15103.86
29;ING 10 1.17%;annuit;145000;1.17%;5.00%;78673.56;3981.49;10;ING;30;2051-04-12;105272.49;63219.77;-42052.73;39.95;5733.44;57486.33;3981.49;42080.50;25416.47;16664.03
0;ING 20 1.54%;annuit;145000;1.54%;1.54%;141167.48;2206.02;20;ING;1;2022-04-12;44672.0;33682.7;-10989.3;24.6;6038.55;27644.16;2206.02;16077.79;16077.79;0.00
1;ING 20 1.54%;annuit;145000;1.54%;1.50%;137219.37;2090.44;20;ING;2;2023-04-12;46012.16;34322.13;-11690.03;25.41;6038.55;28283.58;2090.44;16618.02;16618.02;0.00
2;ING 20 1.54%;annuit;145000;1.54%;1.50%;133211.64;2030.81;20;ING;3;2024-04-12;47392.52;35002.78;-12389.74;26.14;6038.55;28964.24;2030.81;17152.40;17152.40;0.00
3;ING 20 1.54%;annuit;145000;1.54%;1.48%;129130.30;1957.21;20;ING;4;2025-04-12;48814.3;35699.34;-13114.96;26.87;6038.55;29660.8;1957.21;17707.33;17707.33;0.00
4;ING 20 1.54%;annuit;145000;1.54%;1.48%;124974.77;1883.02;20;ING;5;2026-04-12;50278.73;36417.4;-13861.33;27.57;6038.55;30378.86;1883.02;18278.30;18278.30;0.00
5;ING 20 1.54%;annuit;145000;1.54%;1.46%;120755.30;1819.08;20;ING;6;2027-04-12;51787.09;37161.64;-14625.45;28.24;6038.55;31123.09;1819.08;18861.77;18861.77;0.00
6;ING 20 1.54%;annuit;145000;1.54%;1.46%;116451.06;1734.30;20;ING;7;2028-04-12;53340.7;37921.19;-15419.51;28.91;6038.55;31882.64;1734.30;19469.76;19469.76;0.00
7;ING 20 1.54%;annuit;145000;1.54%;1.46%;112083.55;1671.04;20;ING;8;2029-04-12;54940.93;38712.45;-16228.47;29.54;6038.55;32673.91;1671.04;20087.06;20087.06;0.00
8;ING 20 1.54%;annuit;145000;1.54%;1.43%;107627.09;1582.09;20;ING;9;2030-04-12;56589.15;39518.64;-17070.52;30.17;6038.55;33480.09;1582.09;20731.69;20731.69;0.00
9;ING 20 1.54%;annuit;145000;1.54%;1.43%;103098.00;1509.46;20;ING;10;2031-04-12;58286.83;40356.05;-17930.77;30.76;6038.55;34317.51;1509.46;21388.62;21388.62;0.00
10;ING 20 1.54%;annuit;145000;1.54%;1.43%;98503.72;1444.27;20;ING;11;2032-04-12;60035.43;41222.17;-18813.27;31.34;6038.55;35183.62;1444.27;22061.68;22061.68;0.00
11;ING 20 1.54%;annuit;145000;1.54%;1.43%;93843.31;1378.14;20;ING;12;2033-04-12;61836.5;42114.64;-19721.85;31.89;6038.55;36076.1;1378.14;22754.56;22754.56;0.00
12;ING 20 1.54%;annuit;145000;1.54%;1.43%;89115.82;1311.05;20;ING;13;2034-04-12;63691.59;43034.28;-20657.31;32.43;6038.55;36995.73;1311.05;23467.83;23467.83;0.00
13;ING 20 1.54%;annuit;145000;1.54%;1.43%;84320.28;1243.01;20;ING;14;2035-04-12;65602.34;43981.9;-21620.44;32.96;6038.55;37943.35;1243.01;24202.11;24202.11;0.00
